Kab,bpscode,kabcode,dagricode
Kab. Tulungagung,35,3504,35.04
Kota Batu,35,3579,35.79
Kota Blitar,35,3572,35.72
Kota Kediri,35,3571,35.71
Kota Madiun,35,3577,35.77
Kota Malang,35,3573,35.73
Kota Mojokerto,35,3576,35.76
Kota Pasuruan,35,3575,35.75
Kota Probolinggo,35,3574,35.74
Kota Surabaya,35,3578,35.78
Prov. Jawa Timur,35,3500,35
Semua pemda,35,3599,35.99
Kab. Lebak,36,3602,36.02
Kab. Pandeglang,36,3601,36.01
Kab. Serang,36,3604,36.04
Kab. Tangerang,36,3603,36.03
Kota Cilegon,36,3672,36.72
Kota Serang,36,3673,36.73
Kota Tangerang,36,3671,36.71
Kota Tangerang Selatan,36,3674,36.74
Prov. Banten,36,3600,36
Semua pemda,36,3699,36.99
Kab. Badung,51,5103,51.03
Kab. Bangli,51,5106,51.06
Kab. Buleleng,51,5108,51.08
Kab. Gianyar,51,5104,51.04
Kab. Jembrana,51,5101,51.01
Kab. Karangasem,51,5107,51.07
Kab. Klungkung,51,5105,51.05
Kab. Tabanan,51,5102,51.02
Kota Denpasar,51,5171,51.71
Prov. Bali,51,5100,51
Semua pemda,51,5199,51.99
Kab. Bima,52,5206,52.06
Kab. Dompu,52,5205,52.05
Kab. Lombok Barat,52,5201,52.01
Kab. Lombok Tengah,52,5202,52.02
Kab. Lombok Timur,52,5203,52.03
Kab. Lombok Utara,52,5208,52.08
Kab. Sumbawa,52,5204,52.04
Kab. Sumbawa Barat,52,5207,52.07
Kota Bima,52,5272,52.72
Kota Mataram,52,5271,52.71
Prov. Nusa Tenggara Barat,52,5200,52
Semua pemda,52,5299,52.99
Kab. Alor,53,5307,53.05
Kab. Belu,53,5306,53.04
Kab. Ende,53,5311,53.08
Kab. Flores Timur,53,5309,53.06
Kab. Kupang,53,5303,53.01
Kab. Lembata,53,5308,53.13
Kab. Malaka,53,5321,53.21
Kab. Manggarai,53,5313,53.1
Kab. Manggarai Barat,53,5315,53.15
Kab. Manggarai Timur,53,5319,53.19
Kab. Nagekeo,53,5318,53.16
Kab. Ngada,53,5312,53.09
Kab. Rote Ndao,53,5314,53.14
Kab. Sabu Raijua,53,5320,53.2
Kab. Sikka,53,5310,53.07
Kab. Sumba Barat,53,5301,53.12
Kab. Sumba Barat Daya,53,5317,53.18
Kab. Sumba Tengah,53,5316,53.17
Kab. Sumba Timur,53,5302,53.11
Kab. Timor Tengah Selatan,53,5304,53.02
Kab. Timor Tengah Utara,53,5305,53.03
Kota Kupang,53,5371,53.71
Prov. Nusa Tenggara Timur,53,5300,53
Semua pemda,53,5399,53.99
Kab. Bengkayang,61,6102,61.07
Kab. Kapuas Hulu,61,6108,61.06
Kab. Kayong Utara,61,6111,61.11
Kab. Ketapang,61,6106,61.04
Kab. Kubu Raya,61,6112,61.12
Kab. Landak,61,6103,61.08
Kab. Melawi,61,6110,61.1
Kab. Mempawah,61,6104,61.02
Kab. Sambas,61,6101,61.01
Kab. Sanggau,61,6105,61.03
Kab. Sekadau,61,6109,61.09
Kab. Sintang,61,6107,61.05
Kota Pontianak,61,6171,61.71
Kota Singkawang,61,6172,61.72
Prov. Kalimantan Barat,61,6100,61
Semua pemda,61,6199,61.99
Kab. Barito Selatan,62,6204,62.04
Kab. Barito Timur,62,6212,62.13
Kab. Barito Utara,62,6205,62.05
Kab. Gunung Mas,62,6211,62.1
Kab. Kapuas,62,6203,62.03
Kab. Katingan,62,6209,62.06
Kab. Kotawaringin Barat,62,6201,62.01
Kab. Kotawaringin Timur,62,6202,62.02
Kab. Lamandau,62,6207,62.09
Kab. Murung Raya,62,6213,62.12
Kab. Pulang Pisau,62,6210,62.11
Kab. Seruyan,62,6208,62.07
Kab. Sukamara,62,6206,62.08
Kota Palangkaraya,62,6271,62.71
Prov. Kalimantan Tengah,62,6200,62
Semua pemda,62,6299,62.99
Kab. Balangan,63,6311,63.11
Kab. Banjar,63,6303,63.03
Kab. Barito Kuala,63,6304,63.04
Kab. Hulu Sungai Selatan,63,6306,63.06
Kab. Hulu Sungai Tengah,63,6307,63.07
Kab. Hulu Sungai Utara,63,6308,63.08
Kab. Kotabaru,63,6302,63.02
Kab. Tabalong,63,6309,63.09
Kab. Tanah Bumbu,63,6310,63.1
Kab. Tanah Laut,63,6301,63.01
Kab. Tapin,63,6305,63.05
Kota Banjarbaru,63,6372,63.72
Kota Banjarmasin,63,6371,63.71
Prov. Kalimantan Selatan,63,6300,63
Semua pemda,63,6399,63.99
Kab. Berau,64,6405,64.03
Kab. Kutai Barat,64,6402,64.07
Kab. Kutai Kartanegara,64,6403,64.02
Kab. Kutai Timur,64,6404,64.08
Kab. Mahakam Ulu,64,6411,64.11
Kab. Paser,64,6401,64.01
Kab. Penajam Paser Utara,64,6409,64.09
Kota Balikpapan,64,6471,64.71
Kota Bontang,64,6474,64.74
Kota Samarinda,64,6472,64.72
Prov. Kalimantan Timur,64,6400,64
Semua pemda,64,6499,64.99
Kab. Bulungan,65,6502,65.01
Kab. Malinau,65,6501,65.02
Kab. Nunukan,65,6504,65.03
Kab. Tana Tidung,65,6503,65.04
Kota Tarakan,65,6571,65.71
Prov. Kalimantan Utara,65,6500,65
Semua pemda,65,6599,65.99
Kab. Bolaang Mongondow,71,7101,71.01
Kab. Bolaang Mongondow Selatan,71,7110,71.11
Kab. Bolaang Mongondow Timur,71,7111,71.1
Kab. Bolaang Mongondow Utara,71,7107,71.08
Kab. Kep. Siau Tagulandang Biaro,71,7108,71.09
Kab. Kepulauan Sangihe,71,7103,71.03
Kab. Kepulauan Talaud,71,7104,71.04
Kab. Minahasa,71,7102,71.02
Kab. Minahasa Selatan,71,7105,71.05
Kab. Minahasa Tenggara,71,7109,71.07
Kab. Minahasa Utara,71,7106,71.06
Kota Bitung,71,7172,71.72
Kota Kotamobagu,71,7174,71.74
Kota Manado,71,7171,71.71
Kota Tomohon,71,7173,71.73
Prov. Sulawesi Utara,71,7100,71
Semua pemda,71,7199,71.99
Kab. Banggai,72,7202,72.01
Kab. Banggai Kepulauan,72,7201,72.07
Kab. Banggai Laut,72,7211,72.11
Kab. Buol,72,7207,72.05
Kab. Donggala,72,7205,72.03
Kab. Morowali,72,7203,72.06
Kab. Morowali Utara,72,7212,72.12
Kab. Parigi Moutong,72,7208,72.08
Kab. Poso,72,7204,72.02
Kab. Sigi,72,7210,72.1
Kab. Tojo Una Una,72,7209,72.09
Kab. Toli-Toli,72,7206,72.04
Kota Palu,72,7271,72.71
Prov. Sulawesi Tengah,72,7200,72
Semua pemda,72,7299,72.99
Kab. Bantaeng,73,7303,73.03
Kab. Barru,73,7310,73.11
Kab. Bone,73,7311,73.08
Kab. Bulukumba,73,7302,73.02
Kab. Enrekang,73,7316,73.16
Kab. Gowa,73,7306,73.06
Kab. Jeneponto,73,7304,73.04
Kab. Kepulauan Selayar,73,7301,73.01
Kab. Luwu,73,7317,73.17
Kab. Luwu Timur,73,7325,73.24
Kab. Luwu Utara,73,7322,73.22
Kab. Maros,73,7308,73.09
Kab. Pangkajene Kepulauan,73,7309,73.1
Kab. Pinrang,73,7315,73.15
Kab. Sidenreng Rappang,73,7314,73.14
Kab. Sinjai,73,7307,73.07
Kab. Soppeng,73,7312,73.12
Kab. Takalar,73,7305,73.05
Kab. Tana Toraja,73,7318,73.18
Kab. Toraja Utara,73,7326,73.26
Kab. Wajo,73,7313,73.13
Kota Makassar,73,7371,73.71
Kota Palopo,73,7373,73.73
Kota Pare-pare,73,7372,73.72
Prov. Sulawesi Selatan,73,7300,73
Semua pemda,73,7399,73.99
Kab. Bombana,74,7406,74.06
Kab. Buton,74,7401,74.04
Kab. Buton Selatan,74,7415,74.15
Kab. Buton Tengah,74,7414,74.14
Kab. Buton Utara,74,7409,74.1
Kab. Kolaka,74,7404,74.01
Kab. Kolaka Timur,74,7411,74.11
Kab. Kolaka Utara,74,7408,74.08
Kab. Konawe,74,7403,74.02
Kab. Konawe Kepulauan,74,7412,74.12
Kab. Konawe Selatan,74,7405,74.05
Kab. Konawe Utara,74,7410,74.09
Kab. Muna,74,7402,74.03
Kab. Muna Barat,74,7413,74.13
Kab. Wakatobi,74,7407,74.07
Kota Bau-bau,74,7472,74.72
Kota Kendari,74,7471,74.71
Prov. Sulawesi Tenggara,74,7400,74
Semua pemda,74,7499,74.99
Kab. Boalemo,75,7501,75.02
Kab. Bone Bolango,75,7504,75.03
Kab. Gorontalo,75,7502,75.01
Kab. Gorontalo Utara,75,7505,75.05
Kab. Pohuwato,75,7503,75.04
Kota Gorontalo,75,7571,75.71
Prov. Gorontalo,75,7500,75
Semua pemda,75,7599,75.99
Kab. Majene,76,7601,76.05
Kab. Mamasa,76,7603,76.03
Kab. Mamuju,76,7604,76.02
Kab. Mamuju Tengah,76,7606,76.06
Kab. Mamuju Utara,76,7605,76.01
Kab. Polewali Mandar,76,7602,76.04
Prov. Sulawesi Barat,76,7600,76
Semua pemda,76,7699,76.99
Kab. Buru,81,8104,81.04
Kab. Buru Selatan,81,8109,81.09
Kab. Kepulauan Aru,81,8105,81.07
Kab. Maluku Barat Daya,81,8108,81.08
Kab. Maluku Tengah,81,8103,81.01
Kab. Maluku Tenggara,81,8102,81.02
Kab. Maluku Tenggara Barat,81,8101,81.03
Kab. Seram Bagian Barat,81,8106,81.06
Kab. Seram Bagian Timur,81,8107,81.05
Kota Ambon,81,8171,81.71
Kota Tual,81,8172,81.72
Prov. Maluku,81,8100,81
Semua pemda,81,8199,81.99
Kab. Halmahera Barat,82,8201,82.01
Kab. Halmahera Selatan,82,8204,82.04
Kab. Halmahera Tengah,82,8202,82.02
Kab. Halmahera Timur,82,8206,82.06
Kab. Halmahera Utara,82,8205,82.03
Kab. Kepulauan Sula,82,8203,82.05
Kab. Pulau Morotai,82,8207,82.07
Kab. Pulau Taliabu,82,8208,82.08
Kota Ternate,82,8271,82.71
Kota Tidore Kepulauan,82,8272,82.72
Prov. Maluku Utara,82,8200,82
Semua pemda,82,8299,82.99
Kab. Fak Fak,91,9101,92.03
Kab. Kaimana,91,9102,92.08
Kab. Manokwari,91,9105,92.02
Kab. Manokwari Selatan,91,9111,92.11
Kab. Maybrat,91,9110,92.1
Kab. Pegunungan Arfak,91,9112,92.12
Kab. Raja Ampat,91,9108,92.05
Kab. Sorong,91,9107,92.01
Kab. Sorong Selatan,91,9106,92.04
Kab. Tambrauw,91,9109,92.09
Kab. Teluk Bintuni,91,9104,92.06
Kab. Teluk Wondama,91,9103,92.07
Kota Sorong,91,9171,92.71
Prov. Papua Barat,91,9100,92
Semua pemda,91,9199,92.99
Kab. Asmat,94,9415,91.18
Kab. Biak Numfor,94,9409,91.06
Kab. Boven Digoel,94,9413,91.16
Kab. Deiyai,94,9436,91.28
Kab. Dogiyai,94,9434,91.26
Kab. Intan Jaya,94,9435,91.27
Kab. Jayapura,94,9403,91.03
Kab. Jayawijaya,94,9402,91.02
Kab. Keerom,94,9420,91.11
Kab. Kepulauan Yapen,94,9408,91.05
Kab. Lanny Jaya,94,9430,91.23
Kab. Mamberamo Raya,94,9428,91.2
Kab. Mamberamo Tengah,94,9431,91.21
Kab. Mappi,94,9414,91.17
Kab. Merauke,94,9401,91.01
Kab. Mimika,94,9412,91.09
Kab. Nabire,94,9404,91.04
Kab. Nduga,94,9429,91.24
Kab. Paniai,94,9410,91.08
Kab. Pegunungan Bintang,94,9417,91.12
Kab. Puncak,94,9433,91.25
Kab. Puncak Jaya,94,9411,91.07
Kab. Sarmi,94,9419,91.1
Kab. Supiori,94,9427,91.19
Kab. Tolikara,94,9418,91.14
Kab. Waropen,94,9426,91.15
Kab. Yahukimo,94,9416,91.13
Kab. Yalimo,94,9432,91.22
Kota Jayapura,94,9471,91.71
Prov. Papua,94,9400,91
Semua pemda,94,9499,91.99
